CASRN,Canonical_QSARr
75-20-7,C#C
612-16-8,COC1C=CC=CC=1CO
108-95-2,OC1C=CC=CC=1
16673-34-0,COC1=CC=C(Cl)C=C1C(=O)NCCC1C=CC(=CC=1)S(N)(=O)=O
646-06-0,C1OCCO1
123-51-3,CC(C)CCO
95-79-4,CC1=CC=C(Cl)C=C1N
64-17-5,CCO
42872-29-7,CC(C#N)C1=CC(=CC=C1)C(=O)Cl
10305-41-6,OC(COC1CCCCC1)CO
541-42-4,CC(C)ON=O
87-61-6,ClC1C=CC=C(Cl)C=1Cl
97-62-1,CCOC(=O)C(C)C
611-07-4,[O-][N+](=O)C1C=CC(Cl)=CC=1O
68680-98-8,CC(C)CCCC(C)CCO
71-43-2,C1C=CC=CC=1
23519-77-9,CCCO
68015-93-0,CCCCCCCCCCCCCCCC=CCC(CC(O)=O)C(O)=O
15875-13-5,CN(C)CCCN1CN(CN(C1)CCCN(C)C)CCCN(C)C
97-52-9,COC1=CC(=CC=C1N)[N+]([O-])=O
1031-15-8,CP(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
156-38-7,OC1C=CC(CC(O)=O)=CC=1
2842-44-6,CC1C=CC(=CC=1)N(C)CCO
542-08-5,CC(=O)CC(=O)OC(C)C
141-79-7,CC(C)=CC(C)=O
7652-64-4,CC1CN1C(=O)C1C=C(C=CC=1)C(=O)N1CC1C
10339-55-6,CCC(C)=CCCC(C)(O)C=C
64896-70-4,CCCCCCCC(=O)OC1COC2C1OCC2OC(=O)CCCCCCC
127-19-5,CC(=O)N(C)C
21351-39-3,NC(N)=O
108-55-4,O=C1CCCC(=O)O1
527-60-6,CC1C=C(C)C=C(C)C=1O
485-71-2,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21
1530-32-1,CCP(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
66-27-3,COS(C)(=O)=O
133647-88-8,CC(OC1=CC=C(O)C=C1)C(O)=O
615-20-3,ClC1=NC2=CC=CC=C2S1
406679-89-8,C[Si](CN=C=O)(OC)OC
121-73-3,[O-][N+](=O)C1C=C(Cl)C=CC=1
1217271-02-7,CC1(C)CC(CC(C)(C1)CN=CC(C)(C)CN1CCOCC1)N=CC(C)(C)CN1CCOCC1
